"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"4";"2023-07-19 21:30:51";"Workout B #1409";"1742";"Bent Over One Arm Row (Dumbbell)";"1";"32.0";"10";"";"";"";"";""
"4";"2023-07-19 21:30:51";"Workout B #1409";"1742";"Bent Over One Arm Row (Dumbbell)";"2";"32.0";"10";"";"";"";"";""
"5";"2023-08-26 19:40:38";"Random #1410";"1985";"Overhead Press (Barbell)";"1";"50.0";"5";"";"";"";"";""
"5";"2023-08-26 19:40:38";"Random #1410";"1985";"Overhead Press (Barbell)";"2";"50.0";"5";"";"";"";"";""
"5";"2023-08-26 19:40:38";"Random #1410";"1985";"Overhead Press (Barbell)";"3";"50.0";"5";"";"";"";"";""
"5";"2023-08-26 19:40:38";"Random #1410";"1985";"Bent Over Row (Barbell)";"1";"70.0";"5";"";"";"";"";""
"5";"2023-08-26 19:40:38";"Random #1410";"1985";"Bent Over Row (Barbell)";"2";"70.0";"5";"";"";"";"";""
"5";"2023-08-26 19:40:38";"Random #1410";"1985";"Bent Over Row (Barbell)";"3";"70.0";"5";"";"";"";"";""
"5";"2023-08-26 19:40:38";"Random #1410";"1985";"Bicep Curl (Barbell)";"1";"30.0";"12";"";"";"";"";""
"5";"2023-08-26 19:40:38";"Random #1410";"1985";"Bicep Curl (Barbell)";"2";"30.0";"12";"";"";"";"";""
"5";"2023-08-26 19:40:38";"Random #1410";"1985";"Bicep Curl (Barbell)";"3";"30.0";"12";"";"";"";"";""
"6";"2024-01-21 16:58:00";"Afternoon Workout";"3803";"Deadlift (Barbell)";"1";"50.0";"10";"";"";"";"";""
"6";"2024-01-21 16:58:00";"Afternoon Workout";"3803";"Deadlift (Barbell)";"2";"90.0";"5";"";"";"";"";""
"6";"2024-01-21 16:58:00";"Afternoon Workout";"3803";"Deadlift (Barbell)";"3";"130.0";"1";"";"";"";"";""
"6";"2024-01-21 16:58:00";"Afternoon Workout";"3803";"Deadlift (Barbell)";"4";"150.0";"1";"";"";"";"";""
"6";"2024-01-21 16:58:00";"Afternoon Workout";"3803";"Deadlift (Barbell)";"5";"170.0";"1";"";"";"";"";""
"6";"2024-01-21 16:58:00";"Afternoon Workout";"3803";"Deadlift (Barbell)";"6";"180.0";"1";"";"";"";"";""
"6";"2024-01-21 16:58:00";"Afternoon Workout";"3803";"Overhead Press (Barbell)";"1";"50.0";"5";"";"";"";"";""
"6";"2024-01-21 16:58:00";"Afternoon Workout";"3803";"Overhead Press (Barbell)";"2";"60.0";"1";"";"";"";"";""
"6";"2024-01-21 16:58:00";"Afternoon Workout";"3803";"Squat (Barbell)";"1";"50.0";"3";"";"";"";"";""
"6";"2024-01-21 16:58:00";"Afternoon Workout";"3803";"Squat (Barbell)";"2";"110.0";"1";"";"";"";"";""
"6";"2024-01-21 16:58:00";"Afternoon Workout";"3803";"Squat (Barbell)";"3";"120.0";"1";"";"";"";"";""
"6";"2024-01-21 16:58:00";"Afternoon Workout";"3803";"Squat (Barbell)";"4";"130.0";"1";"";"";"";"";""
"7";"2024-01-24 17:18:10";"Strength";"2329";"Snatch Pull (Barbell)";"W";"50.0";"5";"";"";"";"";""
"7";"2024-01-24 17:18:10";"Strength";"2329";"Snatch Pull (Barbell)";"1";"90.0";"5";"";"";"";"";""
"7";"2024-01-24 17:18:10";"Strength";"2329";"Snatch Pull (Barbell)";"2";"100.0";"5";"";"";"";"";""
"7";"2024-01-24 17:18:10";"Strength";"2329";"Snatch Pull (Barbell)";"3";"100.0";"5";"";"";"";"";""
"7";"2024-01-24 17:18:10";"Strength";"2329";"Snatch Pull (Barbell)";"4";"100.0";"5";"";"";"";"";""
"7";"2024-01-24 17:18:10";"Strength";"2329";"Snatch Pull (Barbell)";"5";"100.0";"5";"";"";"";"";""
"7";"2024-01-24 17:18:10";"Strength";"2329";"Overhead Press (Barbell)";"1";"50.0";"5";"";"";"";"";""
"7";"2024-01-24 17:18:10";"Strength";"2329";"Overhead Press (Barbell)";"2";"50.0";"5";"";"";"";"";""
"7";"2024-01-24 17:18:10";"Strength";"2329";"Overhead Press (Barbell)";"3";"50.0";"5";"";"";"";"";""
"7";"2024-01-24 17:18:10";"Strength";"2329";"Overhead Press (Barbell)";"4";"50.0";"4";"";"";"";"";""
"7";"2024-01-24 17:18:10";"Strength";"2329";"Overhead Press (Barbell)";"5";"50.0";"3";"";"";"";"";""
"7";"2024-01-24 17:18:10";"Strength";"2329";"Front Squat (Barbell)";"W";"50.0";"5";"";"";"";"";""
"7";"2024-01-24 17:18:10";"Strength";"2329";"Front Squat (Barbell)";"1";"70.0";"5";"";"";"";"";""
"7";"2024-01-24 17:18:10";"Strength";"2329";"Front Squat (Barbell)";"2";"70.0";"5";"";"";"";"";""
"7";"2024-01-24 17:18:10";"Strength";"2329";"Front Squat (Barbell)";"3";"70.0";"5";"";"";"";"";""
"7";"2024-01-24 17:18:10";"Strength";"2329";"Front Squat (Barbell)";"4";"70.0";"5";"";"";"";"";""
"7";"2024-01-24 17:18:10";"Strength";"2329";"Front Squat (Barbell)";"5";"70.0";"5";"";"";"";"";""
"8";"2024-01-28 12:21:00";"Fighter Pullup Challenge #1";"3600";"Pull Up";"1";"0.0";"5";"";"";"";"";""
"8";"2024-01-28 12:21:00";"Fighter Pullup Challenge #1";"3600";"Pull Up";"2";"0.0";"5";"";"";"";"";""
"8";"2024-01-28 12:21:00";"Fighter Pullup Challenge #1";"3600";"Pull Up";"3";"0.0";"5";"";"";"";"";""
"8";"2024-01-28 12:21:00";"Fighter Pullup Challenge #1";"3600";"Pull Up";"4";"0.0";"5";"";"";"";"";""
