Date,Time,Weight
2021-04-02 08:11:46,1617343906.0,96.070863966
2021-04-03 00:00:00,1617400800.0,96.3
2021-04-03 10:23:17,1617438197.0,96.29766015100002
2021-04-07 00:00:00,1617746400.0,97.7
2021-04-07 08:56:11,1617778571.0,97.658437261
2021-04-09 00:00:00,1617919200.0,97.4
2021-04-09 08:59:08,1617951548.0,97.386281839
2021-04-10 00:00:00,1618005600.0,96.4
2021-04-10 10:19:07,1618042747.0,96.388378625
2021-04-14 00:00:00,1618351200.0,96.5
2021-04-14 08:03:00,1618380180.0,96.479097099
2021-04-29 00:00:00,1619647200.0,98.5
2021-05-04 00:00:00,1620079200.0,97.8
2021-06-11 00:28:26,1623364106.741119,97.1
2021-06-27 11:56:12,1624787772.026272,97.2
2021-07-30 22:52:33,1628196753.668929,101.1
2021-08-23 08:14:16,1629699256.248326,102.0
2021-08-31 06:35:55,1630384555.178304,102.0
2021-12-01 19:16:27,1638382587.650915,98.0
