Time,Date,S,H,P,T,L,U,C,X
1349478000.0,2012/10/06,0,0,0,0,0,0,0,0
1350082800.0,2012/10/13,0,0,0,0,0,0,0,0
1350687600.0,2012/10/20,0,0,0,0,0,0,0,0
1351292400.0,2012/10/27,0,0,0,0,0,0,0,0
1351897200.0,2012/11/03,0,0,0,0,0,0,0,0
1352502000.0,2012/11/10,0,0,0,0,0,0,0,0
1353106800.0,2012/11/17,0,0,0,0,0,0,0,0
1353711600.0,2012/11/24,0,0,0,0,0,0,0,0
1354316400.0,2012/12/01,0,0,0,0,0,0,0,0
1354921200.0,2012/12/08,0,0,0,0,0,0,0,0
1355526000.0,2012/12/15,0,0,0,0,0,0,0,0
1356130800.0,2012/12/22,0,0,0,0,0,0,0,0
1356735600.0,2012/12/29,0,0,0,0,0,0,0,0
1357340400.0,2013/01/05,0,0,0,0,0,0,0,0
1357945200.0,2013/01/12,0,0,0,0,0,0,0,0
1358550000.0,2013/01/19,0,0,0,0,0,0,0,0
1359154800.0,2013/01/26,0,0,0,0,0,0,0,0
1359759600.0,2013/02/02,0,0,0,0,0,0,0,0
1360364400.0,2013/02/09,0,0,0,0,0,0,0,0
1360969200.0,2013/02/16,0,0,0,0,0,0,0,0
1361574000.0,2013/02/23,0,0,0,0,0,0,0,0
1362178800.0,2013/03/02,0,0,0,0,0,0,0,0
1362783600.0,2013/03/09,0,0,0,0,0,0,0,0
1363388400.0,2013/03/16,0,0,0,0,0,0,0,0
1363993200.0,2013/03/23,0,0,0,0,0,0,0,0
1364598000.0,2013/03/30,0,0,0,0,0,0,0,0
1365202800.0,2013/04/06,0,0,0,0,0,0,0,0
1365807600.0,2013/04/13,0,0,0,0,0,0,0,0
1366412400.0,2013/04/20,0,0,0,0,0,0,0,0
1367017200.0,2013/04/27,0,0,0,0,0,0,0,0
1367622000.0,2013/05/04,0,0,0,0,0,0,0,0
1368226800.0,2013/05/11,0,0,0,0,0,0,0,0
1368831600.0,2013/05/18,0,0,0,0,0,0,0,0
1369436400.0,2013/05/25,0,0,0,0,0,0,0,0
1370041200.0,2013/06/01,0,0,0,0,0,0,0,0
1370646000.0,2013/06/08,0,0,0,0,0,0,0,0
1371250800.0,2013/06/15,0,0,0,0,0,0,0,0
1371855600.0,2013/06/22,0,0,0,0,0,0,0,0
1372460400.0,2013/06/29,0,0,0,0,0,0,0,0
1373065200.0,2013/07/06,0,0,0,0,0,0,0,0
1373670000.0,2013/07/13,0,0,0,0,0,0,0,0
1374274800.0,2013/07/20,0,0,0,0,0,0,0,0
1374879600.0,2013/07/27,0,0,0,0,0,0,0,0
1375484400.0,2013/08/03,0,0,0,0,0,0,0,0
1376089200.0,2013/08/10,0,0,0,0,0,0,0,0
1376694000.0,2013/08/17,0,0,0,0,0,0,0,0
1377298800.0,2013/08/24,0,0,0,0,0,0,0,0
1377903600.0,2013/08/31,0,0,0,0,0,0,0,0
1378508400.0,2013/09/07,0,0,0,0,0,0,0,0
1379113200.0,2013/09/14,0,0,0,0,0,0,0,0
1379718000.0,2013/09/21,0,0,0,0,0,0,0,0
1380322800.0,2013/09/28,0,0,0,0,0,0,0,0
1380927600.0,2013/10/05,0,0,0,0,0,0,0,0
1381532400.0,2013/10/12,0,0,0,0,0,0,0,0
1382137200.0,2013/10/19,0,0,0,0,0,0,0,0
1382742000.0,2013/10/26,0,0,0,0,0,0,0,0
1383346800.0,2013/11/02,0,0,0,0,0,0,0,0
1383951600.0,2013/11/09,0,0,0,0,0,0,0,0
1384556400.0,2013/11/16,0,0,0,0,0,0,0,0
1385161200.0,2013/11/23,0,0,0,0,0,0,0,0
1385766000.0,2013/11/30,0,0,0,0,0,0,0,0
1386370800.0,2013/12/07,0,0,0,0,0,0,0,0
1386975600.0,2013/12/14,0,0,0,0,0,0,0,0
1387580400.0,2013/12/21,0,0,0,0,0,0,0,0
1388185200.0,2013/12/28,0,0,0,0,0,0,0,0
1388790000.0,2014/01/04,0,0,0,0,0,0,0,0
1389394800.0,2014/01/11,0,0,0,0,0,0,0,0
1389999600.0,2014/01/18,0,0,0,0,0,0,0,0
1390604400.0,2014/01/25,0,0,0,0,0,0,0,0
1391209200.0,2014/02/01,0,0,0,0,0,0,0,0
1391814000.0,2014/02/08,0,0,0,0,0,0,0,0
1392418800.0,2014/02/15,0,0,0,0,0,0,0,0
1393023600.0,2014/02/22,0,0,0,0,0,0,0,0
1393628400.0,2014/03/01,0,0,0,0,0,0,0,0
1394233200.0,2014/03/08,0,0,0,0,0,0,0,0
1394838000.0,2014/03/15,0,0,0,0,0,0,0,0
1395442800.0,2014/03/22,0,0,0,0,0,0,0,0
1396047600.0,2014/03/29,0,0,0,0,0,0,0,0
1396652400.0,2014/04/05,0,0,0,0,0,0,0,0
1397257200.0,2014/04/12,0,0,0,0,0,0,0,0
1397862000.0,2014/04/19,0,0,0,0,0,0,0,0
1398466800.0,2014/04/26,0,0,0,0,0,0,0,0
1399071600.0,2014/05/03,0,0,0,0,0,0,0,0
1399676400.0,2014/05/10,0,0,0,0,0,0,0,0
1400281200.0,2014/05/17,0,0,0,0,0,0,0,0
1400886000.0,2014/05/24,0,0,0,0,0,0,0,0
1401490800.0,2014/05/31,0,0,0,0,0,0,0,0
1402095600.0,2014/06/07,0,0,0,0,0,0,0,0
1402700400.0,2014/06/14,0,0,0,0,0,0,0,0
1403305200.0,2014/06/21,0,0,0,0,0,0,0,0
1403910000.0,2014/06/28,0,0,0,0,0,0,0,0
1404514800.0,2014/07/05,0,0,0,0,0,0,0,0
1405119600.0,2014/07/12,0,0,0,0,0,0,0,0
1405724400.0,2014/07/19,0,0,0,0,0,0,0,0
1406329200.0,2014/07/26,0,0,0,0,0,0,0,0
1406934000.0,2014/08/02,0,0,0,0,0,0,0,0
1407538800.0,2014/08/09,0,0,0,0,0,0,0,0
1408143600.0,2014/08/16,0,0,0,0,0,0,0,0
1408748400.0,2014/08/23,0,0,0,0,0,0,0,0
1409353200.0,2014/08/30,0,0,0,0,0,0,0,0
1409958000.0,2014/09/06,0,0,0,0,0,0,0,0
1410562800.0,2014/09/13,0,0,0,0,0,0,0,0
1411167600.0,2014/09/20,0,0,0,0,0,0,0,0
1411772400.0,2014/09/27,0,0,0,0,0,0,0,0
1412377200.0,2014/10/04,0,0,0,0,0,0,0,0
1412982000.0,2014/10/11,0,0,0,0,0,0,0,0
1413586800.0,2014/10/18,0,0,0,0,0,0,0,0
1414191600.0,2014/10/25,0,0,0,0,0,0,0,0
1414796400.0,2014/11/01,0,0,0,0,0,0,0,0
1415401200.0,2014/11/08,0,0,0,0,0,0,0,0
1416006000.0,2014/11/15,0,0,0,0,0,0,0,0
1416610800.0,2014/11/22,0,0,0,0,0,0,0,0
1417215600.0,2014/11/29,0,0,0,0,0,0,0,0
1417820400.0,2014/12/06,0,0,0,0,0,0,0,0
1418425200.0,2014/12/13,0,0,0,0,0,0,0,0
1419030000.0,2014/12/20,0,0,0,0,0,0,0,0
1419634800.0,2014/12/27,0,0,0,0,0,0,0,0
1420239600.0,2015/01/03,0,0,0,0,0,0,0,0
1420844400.0,2015/01/10,0,0,0,0,0,0,0,0
1421449200.0,2015/01/17,0,0,0,0,0,0,0,0
1422054000.0,2015/01/24,0,0,0,0,0,0,0,0
1422658800.0,2015/01/31,0,0,0,0,0,0,0,0
1423263600.0,2015/02/07,0,0,0,0,0,0,0,0
1423868400.0,2015/02/14,0,0,0,0,0,0,0,0
1424473200.0,2015/02/21,0,0,0,0,0,0,0,0
1425078000.0,2015/02/28,0,0,0,0,0,0,0,0
1425682800.0,2015/03/07,0,0,0,0,0,0,0,0
1426287600.0,2015/03/14,0,0,0,0,0,0,0,0
1426892400.0,2015/03/21,0,0,0,0,0,0,0,0
1427497200.0,2015/03/28,0,0,0,0,0,0,0,0
1428102000.0,2015/04/04,0,0,0,0,0,0,0,0
1428706800.0,2015/04/11,0,0,0,0,0,0,0,0
1429311600.0,2015/04/18,0,0,0,0,0,0,0,0
1429916400.0,2015/04/25,0,0,0,0,0,0,0,0
1430521200.0,2015/05/02,0,0,0,0,0,0,0,0
1431126000.0,2015/05/09,0,0,0,0,0,0,0,0
1431730800.0,2015/05/16,0,0,0,0,0,0,0,0
1432335600.0,2015/05/23,0,0,0,0,0,0,0,0
1432940400.0,2015/05/30,0,0,0,0,0,0,0,0
1433545200.0,2015/06/06,0,0,0,0,0,0,0,0
1434150000.0,2015/06/13,0,0,0,0,0,0,0,0
1434754800.0,2015/06/20,0,0,0,0,0,0,0,0
1435359600.0,2015/06/27,0,0,0,0,0,0,0,0
1435964400.0,2015/07/04,0,0,0,0,0,0,0,0
1436569200.0,2015/07/11,0,0,0,0,0,0,0,0
1437174000.0,2015/07/18,0,0,0,0,0,0,0,0
1437778800.0,2015/07/25,0,0,0,0,0,0,0,0
1438383600.0,2015/08/01,0,0,0,0,0,0,0,0
1438988400.0,2015/08/08,0,0,0,0,0,0,0,0
1439593200.0,2015/08/15,0,0,0,0,0,0,0,0
1440198000.0,2015/08/22,0,0,0,0,0,0,0,0
1440802800.0,2015/08/29,0,0,0,0,0,0,0,0
1441407600.0,2015/09/05,0,0,0,0,0,0,0,0
1442012400.0,2015/09/12,0,0,0,0,0,0,0,0
1442617200.0,2015/09/19,0,0,0,0,0,0,0,0
1443222000.0,2015/09/26,0,0,0,0,0,0,0,0
1443826800.0,2015/10/03,0,0,0,0,0,0,0,0
1444431600.0,2015/10/10,0,0,0,0,0,0,0,0
1445036400.0,2015/10/17,0,0,0,0,0,0,0,0
1445641200.0,2015/10/24,0,0,0,0,0,0,0,0
1446246000.0,2015/10/31,0,0,0,0,0,0,0,0
1446850800.0,2015/11/07,0,0,0,0,0,0,0,0
1447455600.0,2015/11/14,0,0,0,0,0,0,0,0
1448060400.0,2015/11/21,0,0,0,0,0,0,0,0
1448665200.0,2015/11/28,0,0,0,0,0,0,0,0
1449270000.0,2015/12/05,0,0,0,0,0,0,0,0
